,objID,class,g,i,r,u,z,Predicted Class
0,1237645879551000764,GALAXY,20.98709,18.55396,19.23725,25.91849,18.41879,NQSO
1,1237645879551066262,GALAXY,18.23754,17.20153,17.58132,19.41061,16.90159,NQSO
2,1237645879562862699,STAR,19.28224,18.95554,19.03111,20.14984,18.78287,NQSO
3,1237645879580098737,QSO,20.11118,19.53674,20.00373,20.19055,19.36661,QSO
4,1237645943973675227,STAR,20.77234,18.22479,19.19735,23.54567,17.63784,NQSO
5,1237645943435034783,STAR,18.95963,16.81595,17.58961,21.46995,16.40388,NQSO
6,1237645943435034775,STAR,18.50592,16.20174,17.0387,21.10589,15.65076,NQSO
7,1237645943434969150,STAR,17.24312,17.4452,17.35328,18.41223,17.54572,NQSO
8,1237645943433396364,STAR,18.1172,17.44491,17.62324,19.45892,17.3305,NQSO
9,1237645942906028543,GALAXY,20.8717,19.78386,20.16824,23.72129,20.09445,NQSO
10,1237645942906028511,QSO,21.89656,20.7896,21.12607,24.50399,20.36045,NQSO
11,1237645942906028440,GALAXY,21.59501,18.73534,19.54053,23.16241,18.30546,NQSO
12,1237645942906028426,GALAXY,21.4505,18.5745,19.34064,22.75069,18.08461,NQSO
13,1237645942906028249,STAR,22.07755,19.02387,20.40645,24.16303,18.18106,NQSO
14,1237645942906028231,STAR,21.05925,18.68331,19.41239,23.84071,18.1829,NQSO
15,1237645942906028201,GALAXY,20.68802,18.53917,19.14001,22.33627,18.00962,NQSO
16,1237645942905701086,GALAXY,22.49404,19.27998,20.32917,24.358,18.70867,NQSO
17,1237645942905635032,GALAXY,21.6354,19.4294,20.07636,22.40488,19.04339,NQSO
18,1237645942905634844,GALAXY,22.52164,19.66669,20.49734,24.59088,19.20373,NQSO
19,1237645942905242169,GALAXY,20.90017,19.35356,19.60821,23.89316,18.51251,NQSO
20,1237645942904783006,GALAXY,19.25486,18.04808,18.47961,20.49913,17.82513,NQSO
21,1237645942904389827,GALAXY,19.76736,19.77129,20.11246,20.65894,19.8105,QSO
22,1237645942898230412,GALAXY,23.30316,22.9263,23.00127,22.81865,22.85339,QSO
23,1237645942898229350,STAR,16.4431,15.17877,15.52037,18.65073,14.98173,NQSO
24,1237645941824356481,STAR,17.53154,16.62847,16.87632,19.24055,16.48699,NQSO
25,1237645941824356443,GALAXY,15.75007,14.66306,15.02809,17.55033,14.34982,NQSO
26,1237645941286568024,STAR,18.51313,15.90614,18.05552,19.68138,22.8269,NQSO
27,1237645879579967591,GALAXY,18.52682,16.88712,17.39205,20.77182,16.50065,NQSO
28,1237645879578460507,GALAXY,19.97005,19.11705,19.44376,21.17984,19.06998,NQSO
29,1237645879573873373,GALAXY,22.00222,19.57147,20.39819,22.66974,19.20231,NQSO
30,1237645879562928805,GALAXY,22.31524,19.9351,21.31751,25.26718,19.45918,NQSO
31,1237645879562928144,GALAXY,19.68302,17.90547,18.46475,21.52152,17.5363,NQSO
32,1237645943978328334,GALAXY,21.70605,21.04335,21.38698,21.95771,21.54398,QSO
33,1237645943973610128,GALAXY,23.63059,20.27889,21.68502,23.47366,20.29325,NQSO
34,1237645943973609994,GALAXY,21.58328,19.0527,19.95818,22.32798,18.7418,NQSO
35,1237645943434969249,STAR,18.34317,16.75957,17.20218,20.87032,16.50819,NQSO
36,1237645943434969247,GALAXY,19.13158,17.22402,17.77337,21.52431,16.89102,NQSO
37,1237645943434969245,STAR,17.79041,16.73077,17.00843,19.72482,16.58711,NQSO
38,1237645943978328347,GALAXY,20.77056,19.33523,19.72263,21.82651,18.98182,NQSO
39,1237645943978328345,GALAXY,19.78052,18.56083,18.90818,20.93877,18.25916,NQSO
